track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345.0,141,12,78,0,0,F#,Major,79,44,54,41,0,13,24
Memories,Maroon 5,1,2019,9,20,9974,2,1759567999.0,272,67,"1,066",1,19,B,Major,77,60,32,84,0,8,5
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934.0,72,0,0,0,0,G,Minor,56,61,76,10,0,14,11
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991.0,17,3,3,0,0,F,Minor,90,74,54,16,0,13,28
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,258316038.0,24,92,93,0,0,F#,Minor,80,62,69,28,0,13,7
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492.0,151,102,175,5,29,E,Minor,84,90,70,9,0,14,8
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487.0,141,78,"6,591",1,0,B,Major,81,53,78,18,0,6,24
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472.0,34,3,30,0,0,G#,Minor,47,50,80,10,0,32,38
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152.0,34,1,31,0,0,G,Major,52,44,60,40,0,26,3
Lost,Frank Ocean,1,2012,1,1,29499,11,822239726.0,124,27,587,0,4,A#,Minor,91,49,61,3,0,17,22
In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675.0,235,106,"5,221",1,35,F#,Minor,90,79,71,26,0,7,37
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,5342,0,426204830.0,33,123,7,0,4,D#,Major,37,17,67,2,0,34,9
Notion,The Rare Occasions,1,2016,8,5,2393,0,421135627.0,22,13,65,0,6,A,Major,31,30,88,7,0,8,8
Formula,Labrinth,1,2019,10,4,3444,7,554875730.0,24,85,102,0,1,B,Major,57,23,66,4,6,15,4
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031.0,7,21,2,0,0,F,Minor,84,49,72,8,0,15,8
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469.0,78,15,"1,674",0,3,G#,Major,93,61,74,9,0,17,8
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,252871192.0,57,13,50,1,7,B,Minor,31,4,86,1,0,28,17
Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128.0,44,63,91,0,24,A,Major,76,92,62,6,0,8,13
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265.0,284,114,"1,481",0,5,C#,Minor,91,42,60,0,0,9,12
Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317.0,65,45,398,0,1,A#,Minor,81,83,75,14,0,29,34
Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285.0,5,1,62,0,0,G#,Major,67,8,54,27,0,8,4
Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,258714692.0,47,3,42,12,6,G#,Minor,74,61,52,30,0,26,9
212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338.0,10,0,39,0,0,D,Minor,79,86,52,66,0,9,7
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491.0,42,7,15,0,4,D,Minor,73,37,74,28,0,14,6
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573.0,25,0,14,0,0,B,Major,89,75,70,6,0,13,5
Worst Day,Future,1,2022,2,11,910,0,50746620.0,20,3,24,0,0,C#,Major,65,60,60,11,0,10,40
Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253.0,43,36,46,13,4,G#,Minor,51,66,53,60,0,11,18
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092.0,363,129,"3,895",0,28,D,Major,78,58,45,47,0,18,3
Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868.0,47,116,266,0,0,F,Major,31,31,63,47,27,21,12
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,8,106,6,0,8,F,Major,44,18,38,70,0,12,4
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745.0,42,1,26,0,0,C#,Minor,84,54,51,47,0,12,40
Forever,Labrinth,1,2019,10,4,3618,0,282883169.0,21,86,138,0,2,E,Minor,56,19,46,92,72,11,3
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918.0,453,50,"1,785",1,8,A,Minor,76,77,52,4,0,8,3
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,4708,0,461437791.0,13,7,55,0,1,F,Minor,62,46,73,10,0,67,11
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783.0,52,42,100,0,0,C#,Major,74,59,87,3,0,8,5
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862.0,45,27,"1,197",0,43,G#,Major,44,8,20,74,42,11,3
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472.0,69,2,51,11,0,G,Major,81,68,63,17,0,10,22
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415,32,682475162.0,46,16,53,1,2,A#,Minor,87,82,53,10,0,5,8
Envolver,Anitta,1,2021,11,11,4673,2,546191065.0,123,113,180,1,4,E,Minor,81,40,73,15,0,9,8
Starlight,Dave,1,2022,3,3,1856,3,229473310.0,29,40,31,1,1,G,Major,95,36,37,35,0,10,28
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468.0,12,4,0,0,0,F#,Major,64,76,44,70,9,12,4
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039.0,45,0,99,1,1,A,Minor,78,55,57,4,0,10,8
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487.0,7,11,13,0,0,C#,Minor,59,70,74,56,0,11,40
Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335.0,29,2,35,1,0,A#,Minor,80,71,68,6,0,10,37
Nail Tech,Jack Harlow,1,2022,2,18,2939,0,193443895.0,42,0,24,0,0,E,Minor,65,11,58,0,0,12,9
Chale,Eden Muï¿½ï,1,2022,2,18,695,11,299648208.0,16,41,13,1,1,G#,Major,55,86,44,40,0,7,4
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,153240879.0,26,1,19,0,0,D,Minor,80,24,65,2,0,9,4
Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073.0,233,82,531,1,1,F#,Minor,69,90,88,5,0,29,8
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558.0,10,0,70,0,0,A#,Minor,70,71,58,24,0,7,13
Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,0,263779030.0,2,0,12,0,10,D,Major,69,35,57,12,0,10,9
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453.0,36,2,11,0,14,A,Minor,67,37,46,13,0,10,39
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2204080728.0,336,188,"2,692",3,30,B,Minor,61,47,65,3,0,17,4
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,236872197.0,15,48,50,0,3,F#,Minor,68,33,43,38,0,36,14
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291.0,55,3,32,0,0,G,Major,81,59,83,9,0,11,5
When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451.0,75,11,44,0,14,F,Major,60,58,69,2,0,58,4
In My Head,Lil Tjay,1,2022,4,1,1185,0,190981339.0,21,0,31,0,0,C#,Major,68,41,55,16,0,10,12
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303.0,79,80,250,3,10,D#,Minor,76,63,71,3,0,10,3
LOVE DIVE,IVE,1,2022,4,5,753,8,305771063.0,28,124,13,0,1,C#,Minor,70,54,71,0,0,33,4
Chance,Paulo Londra,1,2022,4,6,225,0,89566512.0,11,0,7,0,0,C#,Minor,72,22,46,24,0,9,6
Cool for the Summer,Demi Lovato,1,2015,1,1,9243,0,677389855.0,155,5,577,0,6,F,Minor,59,30,62,1,0,8,4
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209.0,24,0,52,0,0,G,Minor,63,45,64,34,0,9,8
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,4,187772591.0,26,3,39,0,0,G#,Minor,78,63,64,1,0,7,4
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991.0,5,0,4,0,1,E,Minor,71,63,45,45,0,11,3
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831.0,32,0,49,0,0,D#,Minor,93,77,45,25,0,13,27
Falling,Harry Styles,1,2019,12,13,7556,0,1023187129.0,124,24,254,0,8,E,Major,57,6,27,84,0,9,3
MANIAC,Stray Kids,1,2022,3,18,651,0,212234990.0,6,188,20,0,0,C#,Major,58,71,80,15,0,7,41
