track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692.0,15,33,6,1,0,G#,Major,70,97,59,55,0,27,12
Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309.0,93,95,84,9,202,C#,Minor,67,72,74,30,0,36,4
Bound 2,Kanye West,1,2013,1,1,19806,7,703301727.0,33,11,274,0,0,C#,Major,37,28,66,14,0,9,5
Talk that Talk,TWICE,1,2022,8,26,615,0,189476119.0,14,77,15,1,2,D#,Minor,77,78,91,14,0,33,12
Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007.0,20,49,23,2,2,G#,Minor,70,58,57,25,0,15,7
Prohibidox,Feid,1,2022,9,13,1473,12,185392587.0,25,36,25,1,0,C#,Minor,65,52,80,5,0,6,25
Sparks,Coldplay,1,2000,7,10,10826,4,624101957.0,24,0,805,0,0,C#,Major,37,17,27,75,5,10,3
Talk,YEAT,1,2022,9,2,920,0,148461629.0,10,1,8,0,0,E,Minor,70,26,76,8,0,54,23
Selfish,PnB Rock,1,2016,6,23,2468,0,380319238.0,15,0,0,0,0,C#,Minor,64,4,60,11,0,19,4
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,209106362.0,18,10,13,1,1,B,Minor,82,75,85,33,1,11,4
Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404.0,3,0,2,0,0,D,Major,78,75,62,6,0,15,6
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5,225093344.0,78,65,328,1,198,D,Major,52,24,60,0,0,8,3
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,159240673.0,14,1,13,0,0,A,Major,84,43,75,5,0,6,8
Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584.0,14,116,9,0,11,E,Minor,73,65,91,4,0,48,18
we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854.0,31,21,15,0,4,G,Major,57,24,37,11,18,16,3
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,247689123.0,41,0,158,2,68,G,Major,72,92,77,9,0,8,11
California Breeze,Lil Baby,1,2022,10,14,991,0,85559365.0,36,38,13,0,3,F,Minor,74,22,67,0,0,11,46
Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153.0,22,7,15,0,0,G#,Minor,91,23,55,1,0,7,32
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,191333656.0,24,8,17,0,1,E,Minor,75,45,63,6,0,35,12
Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850.0,12,9,16,0,0,E,Minor,80,16,28,17,0,12,39
On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,170413877.0,9,20,7,0,0,A,Major,84,33,36,2,0,39,59
Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587.0,7,5,13,0,0,E,Major,66,12,35,55,0,9,14
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999.0,26,9,17,0,3,C#,Major,73,25,61,1,0,32,7
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,198365537.0,26,52,10,0,95,G,Major,77,20,70,1,0,16,5
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916.0,4,5,8,0,0,G,Major,48,55,84,43,0,15,12
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708.0,8,1,7,0,0,D,Minor,62,25,44,51,33,14,3
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403.0,6,5,3,0,0,F,Major,93,62,61,0,0,12,20
The Astronaut,Jin,1,2022,10,28,481,9,203436468.0,10,100,15,1,27,F,Major,54,22,76,0,0,14,3
Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219.0,3,8,5,0,0,D,Major,64,11,53,1,0,25,27
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870.0,4,0,8,0,0,F#,Major,42,7,24,83,1,12,6
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683.0,2,0,7,0,0,C#,Major,80,81,67,4,0,8,6
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612.0,29,26,17,0,0,C#,Major,82,67,77,8,0,12,5
